"","ALL ORGANS","HEART","KIDNEYS","BLADDER","lymphoid hyperplasia"
"M",0.244285714285714,0.5,0.196428571428571,0.0727272727272727,0.2
"F",0.516393442622951,0.80327868852459,0.311475409836066,0.724137931034483,0.189655172413793
