CC line,Mouse ID,,JOINTS,,,,,
,,box,Case#,Adapted overall score (including all criteria),Synovial hyperplasia,Exudate within joint and/or tendon sheath,Superficial inflammation of bone,Overall inflammation (whole tissue)
,,,,,,,,
,Average,,,1.0625,2,0.25,1.25,0.75
,023-404MC,joints 1,76,0.5,1,0,0,1
,023-391FC,joints 2,274,1,2,0,1,1
,Average,,,0.75,1.5,0,0.5,1
,,,,0.3125,0.5,0.25,0.75,0
,,,,,,,,
CC024,024-171MI,joints 1,78,0.75,2,0,0,1
,024-172MI ,joints 1,80,0.75,2,0,0,1
,024-182FI,joints 2,276,1.25,2,0,2,1
,024-183FI,joints 2,278,1.5,3,1,1,1
,Average,,,1.0625,2.25,0.25,0.75,1
,024-173MC,joints 1,82,0.75,2,0,0,1
,024-181FC,joints 2,280,1,2,0,1,1
,Average,,,0.875,2,0,0.5,1
,,,,0.1875,0.25,0.25,0.25,0
,,,,,,,,
CC025,025-414MI,joints 1,84,0.5,1,0,0,1
,025-415MI,joints 1,86,1,2,0,1,1
,025-547FI (histology) (d 90 Pi) ,joints 2,282,1,2,0,1,1
,025-461FI,joints 2,284,1.5,2,0,3,1
,Average,,,1,1.75,0,1.25,1
,025-472MC,joints 1,88,1,2,0,1,1
,025-444FC,joints 2,286,1,2,0,1,1
,Average,,,1,2,0,1,1
,,,,0,0,0,0.25,0
,,,,,,,,
CC027,027-314MI,joints 1,90,1,2,0,1,1
,027-323MI,joints 1,92,1.25,2,1,1,1
,027-262FI,joints 2,288,1.5,3,0,2,1
,027-259FI,joints 2,290,1,2,0,1,1
,Average,,,1.1875,2.25,0.25,1.25,1
,027-273MC,joints 1,94,0.5,1,0,0,1
,027-255FC,joints 2,292,1.25,3,0,1,1
,Average,,,0.875,2,0,0.5,1
,,,,0.3125,0.25,0.25,0.75,0
,,,,,,,,
CC030,030-310MI,joints 1,96,0.5,1,0,0,1
,030-309MI,joints 1,98,1.25,2,1,1,1
,030-333FI,joints 2,294,0,0,0,0,0
, 030-334FI ,joints 2,296,0,0,0,0,0
,Average,,,0.4375,0.75,0.25,0.25,0.5
,030-311MC,joints 1,100,0,0,0,0,0
,030-335FC,joints 2,298,0.5,0,0,1,1
,Average,,,0.25,0,0,0.5,0.5
,,,,0.1875,0.75,0.25,0,0
,,,,,,,,
CC032,032-146MI,joints 1,102,1,2,0,1,1
,032-147MI,joints 1,104,1,2,0,1,1
,032-173FI,joints 2,300,0.75,1,0,1,1
,032-170FI,joints 2,302,1,1,0,2,1
,Average,,,0.9375,1.5,0,1.25,1
,032-148MC,joints 1,106,0.25,1,0,0,0
,032-159FC ,joints 2,304,1.75,2,1,2,2
,Average,,,1,1.5,0.5,1,1
,,,,-0.0625,0,0,0.25,0
,,,,,,,,
CC036,036-127MI,joints 1,108,0.75,1,0,1,1
,036-131MI,joints 1,110,0.5,1,0,0,1
,036-137FI,joints 2,306,3.5,3,4,4,3
,036-133FI,joints 2,308,1.25,2,0,2,1
,Average,,,1.5,1.75,1,1.75,1.5
,036-172MC,joints 1,114,1,2,0,1,1
,036-129FC,joints 2,310,1.25,2,0,1,2
,Average,,,1.125,2,0,1,1.5
,,,,0.375,0,1,0.42,0.2
,,,,,,,,
CC037,037-313MI,joints 1,116,1.75,2,1,3,1
,037-438MI,joints 1,118,0.25,1,0,0,0
,037-284FI,joints 2,312,1.75,3,0,2,2
,037-285FI,joints 2,314,2.25,3,0,4,2
,Average,,,1.5,2.25,0.25,2.25,1.25
,037-312MC,joints 1,120,0,0,0,0,0
,037-286FC ,joints 2,316,0.25,0,0,0,1
,Average,,,0.125,0,0,0,0.5
,,,,1.375,2.25,0.25,2.25,0.75
,,,,,,,,
CC038,038-499MI,joints 1,122,,,,,
,038-492MI ,joints 1,124,2.75,2,3,3,3
,038-494FI,joints 2,318,1.75,3,0,3,1
,038-490FI,joints 2,320,3.25,3,4,3,3
,Average,,,2.583333333,2.666666667,2.333333333,3,2.333333333
,038-373MC ,joints 1,126,0.25,1,0,0,0
,038-572FC ,joints 2,324,0.75,1,0,1,1
,Average,,,0.5,1,0,0.5,0.5
,,,,2.083333333,1.67,2.33,2.5,1.8
,,,,,,,,
CC041,041-1263MI,joints 1,128,2.25,3,2,1,3
,041-1264MI,joints 1,130,0.5,2,0,0,0
,041-1266FI ,joints 2,326,2.25,3,0,3,3
,041-1274FI,joints 2,328,2.25,2,2,3,2
,Average,,,1.8125,2.5,1,1.75,2
,041-1392MC,joints 1,132,0,0,0,0,0
,041-1275FC ,joints 2,330,,,,,
,Average,,,0,0,0,0,0
,,,,1.8125,2.5,1,1.75,2
,,,,,,,,
CC043,043-342MI,joints 1,138,1.25,2,0,2,1
,043-341MI,joints 1,140,0.5,1,0,0,1
,043-346FI,joints 2,332,4,4,4,4,4
,043-363FI,joints 2,334,3,3,1,4,4
,Average,,,2.1875,2.5,1.25,2.5,2.5
,043-343MC (d126 Pi),joints 1,142,,,,,
,043-354FC,joints 2,336,1,1,0,2,1
,Average,,,1,1,0,2,1
,,,,1.1875,1.5,1.25,0.5,1.5
,,,,,,,,
CC044,044-45MI ,joints 1,144,1.25,3,0,0,2
,044-57MI,joints 1,146,2.75,4,2,3,2
,044-61FI,joints 2,338,0.75,1,0,1,1
,044-56FI,joints 2,340,0.75,1,0,1,1
,Average,,,1.375,2.25,0.5,1.25,1.5
,044-49MC,joints 1,148,1.25,3,0,1,1
,044-52FC,joints 2,342,0.25,0,0,0,1
,Average,,,0.75,1.5,0,0.5,1
,,,,0.625,0.75,0.5,0.75,0.5
,,,,,,,,
CC046,046-145MI,joints 1,150,3.5,4,4,3,3
,046-141MI,joints 1,152,1.75,4,0,1,2
,046-148FI ,joints 2,244,1.5,2,0,2,2
,046-143FI ,joints 2,246,1.75,2,1,2,2
,Average,,,2.125,3,1.25,2,2.25
,046-201MC ,joints 1,156,1,2,0,1,1
,046-132FC ,joints 2,248,0,0,0,0,0
,Average,,,0.5,1,0,0.5,0.5
,,,,1.625,2,1.25,1.5,1.75
,,,,,,,,
CC051,051-300MI,joints 1,158,1.25,2,0,1,2
,051-301MI ,joints 1,160,1.25,2,1,1,1
,051-302FI,joints 2,350,2.5,3,0,4,3
,051-303FI,joints 2,352,2.25,3,0,3,3
,Average,,,1.8125,2.5,0.25,2.25,2.25
,051-305MC,joints 1,162,0.5,1,0,0,1
,051-306FC,joints 2,354,1,1,0,2,1
,Average,,,0.75,1,0,1,1
,,,,1.0625,1.5,0.25,1.25,1.25
,,,,,,,,
CC053,053-243MI ,joints 1,164,0.75,1,0,1,1
,053-245MI,joints 1,166,1,2,0,1,1
,053-239FI,joints 2,356,0.75,1,0,1,1
,053-238FI,joints 2,358,1.25,2,0,2,1
,Average,,,0.9375,1.5,0,1.25,1
,053-237MC,joints 1,168,0.75,1,0,1,1
,053-250FC ,joints 2,360,1,1,0,2,1
,Average,,,0.875,1,0,1.5,1
,,,,0.0625,0.5,0,0,0
,,,,,,,,
CC057,057-399MI,joints 1,170,,,,,
,057-400MI,joints 1,172,2.5,3,3,2,2
,057-389FI,joints 2,362,2.5,3,0,4,3
,057-390FI,joints 2,264,3.75,4,3,4,4
,Average,,,2.916666667,3.333333333,2,3.333333333,3
,057-398MC,joints 1,174,0,0,0,0,0
,057-388FC,joints 2,266,1.5,2,0,1,3
,Average,,,0.75,1,0,0.5,1.5
,,,,2.167,2.33,2,2.83,1.5
,,,,,,,,
CC058,058-170MI,joints 1,176,2.5,3,2,3,2
,058-160MI,joints 1,178,1.5,2,0,3,1
,058-141FI,joints 2,368,2,3,0,2,3
,058-142FI,joints 2,370,1,1,0,2,1
,Average,,,1.75,2.25,0.5,2.5,1.75
,058-193MC,joints 1,180,0,0,0,0,0
,058-143FC,joints 2,372,0.5,0,0,1,1
,Average,,,0.25,0,0,0.5,0.5
,,,,1.5,2.25,0.5,2,0.25
,,,,,,,,
CC061,061-397MI,joints 1,182,0.75,1,0,1,1
,061-398MI,joints 1,184,2,3,0,4,1
,061-396FI,joints 2,374,1.5,2,0,3,1
,061-401FI,joints 2,376,1.75,2,0,3,2
,Average,,,1.5,2,0,2.75,1.25
,061-392MC,joints 1,186,0.5,1,0,0,1
,061-402FC,joints 2,378,0.5,1,0,0,1
,Average,,,0.5,1,0,0,1
,,,,1,1,0,2.75,0.25
,,,,,,,,
CC072,072-125MI,joints 1,188,3.75,4,4,4,3
,072-128MI ,joints 1,190,2.75,4,0,4,3
,072-129FI ,joints 2,380,2,4,0,2,2
,072-122FI,joints 2,382,2.5,3,1,3,3
,Average,,,2.75,3.75,1.25,3.25,2.75
,072-106MC (d 113Pi),joints 1,192,1,,,,
,072-109FC ,joints 2,384,1,2,0,1,1
,Average,,,1,2,0,1,1
,,,,1.75,1.75,1.25,2.25,1.75
,,,,,,,,
CC078,078-282MI,joints 1,194,1.75,3,1,2,1
,078-283MI,joints 1,196,2.25,4,1,2,2
,078-310FI,joints 2,386,0.75,1,0,1,1
,078-301FI ,joints 2,388,2,4,0,2,2
,Average,,,2,4,0,2,2
,078-359MC,joints 1,200,0.5,1,0,0,1
,078-294FC ,joints 2,390,0.75,1,0,1,1
,Average,,,0.625,1,0,1,1
,,,,1.375,3,0,1,1
